column_1,column_2
1849,-6420
521,-30
2446,-5987
9266,1725
-2642,195
87,156
5260,-79
-1675,7
-3094,6875
-2520,379
3712,-758
8026,-176
-795,515
-1432,7681
2933,8111
26,-37
217,-9381
-131,4846
-2260,-15
128,-4303
-969,808
-1382,-5028
874,5826
-6674,-1050
1865,-2090
4718,774
-3444,-1347
2056,1455
-5183,-6907
3118,-4073
5796,-3403
2005,776
2425,-402
-5405,1288
382,4674
6825,3586
4245,1670
1008,-3315
3056,-1757
4056,-1816
2322,2506
2890,6303
396,2994
8120,-236
1093,-1150
1259,3575
-3012,7297
-398,-4544
1511,-3485
2010,629
-377,-1732
-4552,-573
4867,-182
55,6972
1696,7016
2724,247
-649,-7350
-9006,-4904
-772,6792
-6969,-4150
-2204,-4089
-3,-507
-589,-725
-3276,5102
-83,-111
1179,2223
-8171,-3462
4181,1380
3339,1542
2065,-5151
2326,1271
-1694,-6734
-3548,2102
5116,82
412,-8212
78,-3017
649,353
-4359,-206
-7764,-93
-2820,-3383
4088,2324
-378,-2
-498,-660
3191,-286
199,7338
162,6413
989,1962
2168,-1278
-3870,-313
226,1041
-360,-674
1008,-2634
2468,-2768
-5087,1166
-301,-5094
2733,5190
-4413,-459
-259,4132
418,1051
568,5276
