column_1,column_2
-4726,3277
2748,1367
4709,-3253
282,6233
0,-3234
-4699,-871
-665,1729
-482,-3919
-1695,-4812
-2105,3438
-727,2238
-44,-11
7105,-1759
-65,-161
-114,2749
1312,-2111
365,2876
-1315,3599
-1990,-4729
1717,-365
1741,-700
-103,-3938
-4285,702
-373,-1404
1254,5487
2304,-1855
388,-2041
-344,-66
-2301,-6838
726,-3999
-779,-527
1403,-2912
-5864,-15
-2366,-120
-1079,1442
1518,-1493
2452,86
-977,3503
4015,720
-137,-20
1467,-1059
-909,-3828
2062,3112
-6040,-664
139,-237
-5371,6918
1121,1185
589,-2130
2655,4687
-667,-2436
-367,779
1233,594
-357,-2600
-5854,1584
-279,5264
1389,4898
2554,-1202
2428,6897
333,4236
-9190,-254
-1510,-1866
754,-4480
-254,67
-1013,12
2111,789
194,-2889
-5664,1082
8469,357
761,-2067
1370,807
1325,-6623
4518,-3885
4656,-1449
-4496,-1398
-1487,-1152
9626,2579
-2875,3572
3569,-8942
348,-2967
6376,-3691
-5251,4057
-5899,2643
5177,2788
-1773,-1423
1709,1755
-3970,3607
-1685,1904
-473,-4156
-569,9377
2343,-31
940,6820
-44,-86
2199,-504
-341,-1463
3825,-722
-4037,7235
159,-1392
2762,352
-4962,-4697
-5,-6425
