column_1,column_2
-4658,5322
1672,-417
-89,3552
351,532
1437,4722
-4366,-750
-3993,-2346
6447,2574
1034,6499
-3789,8571
237,-3627
-2188,-3731
-2882,557
-2884,6760
-174,7562
1059,3473
-761,-3643
2881,-922
3797,-240
-609,2083
-1160,3301
-235,-1558
-4020,-6207
7131,-277
1138,4530
240,-23
-2299,4116
532,-1807
-7449,1895
-887,-5001
-684,1129
750,395
-7473,-1013
-1421,-173
-205,2666
2050,-922
229,-139
-56,-2798
453,1473
2116,1892
-573,-964
371,1310
-3619,426
-3509,-3305
26,3872
5361,128
-2742,-7228
4300,-1015
156,-1320
-589,3914
1374,6820
3402,3013
-978,-5506
-135,-1101
2273,-4981
-423,4947
3803,-221
4597,-4703
4876,-2004
796,-2705
3760,-2321
3010,6199
-4347,-11
-550,6529
-452,1326
557,2548
-3372,-1648
-1438,23
5021,-1031
3127,-844
3522,5005
2698,-3234
-6410,4696
210,-2943
0,4046
-325,510
2352,-784
1081,7058
1648,117
-4270,1448
5196,2336
-8279,-878
144,-5255
2343,2137
-1080,2826
2879,-5586
180,-5162
-3040,1658
1238,4114
1293,3511
-1457,2378
1976,-2576
-5732,1142
293,-814
-1936,2103
-8989,6057
3067,4253
283,26
-23,-2190
6951,-550
