column_1,column_2
2076,-2747
-1777,-1326
-5425,787
1203,-2643
-4930,-2260
921,3626
-6312,-5049
624,320
-1655,5459
657,4181
1581,-1127
853,-430
-148,-313
-74,119
-94,781
726,6704
-3091,287
-2129,2406
-1925,-2773
146,6201
3846,6049
6543,-811
9480,-159
-4441,3728
-3125,1951
207,3639
7494,773
736,-6182
-273,-3753
1701,3098
285,395
1217,-15
23,359
1171,-239
169,6220
5767,242
-7338,23
-1546,-4564
3280,6211
-2242,-1380
13,-2571
-3101,3519
5134,-587
3492,-5026
7588,2471
457,-5423
1031,4211
-3017,4660
101,-3685
-306,-216
6071,-152
-998,-1646
6382,-1222
-6056,-7795
-5390,5810
-859,968
4880,-1309
-1044,-2863
4119,2009
5858,399
-949,2363
-287,7252
474,299
1322,4632
-1773,6962
-1483,-8635
-2831,-1670
-293,-490
-1780,-1697
-7173,1554
-1634,-4174
897,-3643
6824,2161
1789,649
1436,-1936
1166,-204
-8115,-734
9252,1002
234,2239
1740,351
71,1082
1948,4372
-723,-4107
1381,4103
-1330,4555
4505,1601
6159,-774
2857,988
-6570,6791
-642,2958
-1392,-558
-897,5018
7433,-3570
149,-4646
-1846,-7725
171,6084
-3594,-1816
-1185,-292
-2225,539
-587,3586
