column_1,column_2
-3054,-617
-3218,-1107
-4322,-1885
-2197,-165
-1613,-415
-47,-3810
-712,-5239
-176,-6321
-682,-1316
-2798,-723
-8001,-8704
-6706,-1805
-740,-4081
-225,-52
-802,-5145
-1749,-577
-486,-1098
-256,-2540
-28,-921
-618,-656
-713,-2337
-1134,-612
-1695,-86
-4578,-1708
-19,-873
-262,-854
-2344,-881
-298,-210
-1523,-3619
-383,-1102
-3302,-1069
-4965,-366
-132,-307
-335,-4900
-2065,-3320
-323,-3899
-395,-4041
-3658,-3561
-1351,-1968
-1371,-1242
-2271,-6855
-783,-1518
-2986,-3069
-2290,-1176
-3770,-4954
-836,-1898
-3693,-4817
-2128,-789
-1165,-1952
-647,-2330
-7313,-11
-2673,-686
-331,-3460
-788,-1376
-1388,-3219
-1477,-4492
-2151,-1
-2874,-2268
-524,-840
-7032,-126
-266,-3100
-181,-705
-355,-4289
-2414,-1824
-4261,-1466
-1769,-1154
-5622,-390
-1123,-1475
-32,-803
-3795,-4412
-143,-2696
-3982,-794
-1407,-704
-733,-1275
-3162,-1393
-880,-36
-2702,-5948
-4687,-3848
-7138,-1835
-2913,-1364
-3751,-1171
-1738,-801
-2582,-3952
-1371,-1218
-6466,-1192
-2476,-8428
-4638,-919
-437,-7305
-1133,-101
-1488,-1744
-2698,-1184
-4639,-2431
-2931,-543
-2190,-1684
-21,-4991
-1767,-3589
-166,-2443
-831,-4644
-682,-4079
-920,-105
