column_1,column_2
34,1816
-6277,-63
3618,-7829
-544,868
-478,4855
195,1022
-1232,-3508
-5569,-2023
2477,1638
-1019,4306
-282,-222
3988,-390
-3211,9629
2401,1616
4017,3074
2777,-3684
5949,1628
185,1403
8538,-2535
365,3906
-5674,-5116
-42,-490
177,-6570
3184,-4964
475,-1621
5185,81
-1400,306
4349,-288
-3197,2503
639,4422
-951,-2103
7509,6877
3375,2602
124,-3081
4296,3999
5508,-2277
3748,-84
-5096,2413
8043,2213
-988,-2144
589,-1433
-1850,-6049
6774,-354
2901,715
-1732,-3500
-1328,634
1776,1274
-1804,-7398
3107,393
1238,-3861
-1062,2301
-3939,-6097
-211,-1187
-6125,-465
3046,-353
-2522,494
-2857,-396
-5828,517
-927,4078
-1875,2119
3061,-16
5989,-565
1182,-731
5709,5471
-2,5324
4258,-41
621,-598
3040,-2477
7656,594
-5522,677
1729,-1608
-4020,-5495
354,-1433
-618,-558
-195,-2342
14,1815
2364,-7743
-7513,-2201
3387,-1021
2207,-315
1477,211
-312,276
-8047,139
1508,2456
-5914,-2409
130,-7695
-2818,7238
6281,-2602
1663,-6192
-2301,46
-3696,4485
-3491,-1030
205,-1559
8330,-4836
-2766,-3257
36,-2709
4850,4509
5364,41
1249,644
-1991,-4002
