column_1,column_2
4011,1774
274,1156
1317,920
3158,1378
271,1161
999,2025
2246,1741
2094,1941
4640,2441
3634,3380
6143,1713
4395,388
3593,735
2817,6819
6200,853
2640,2283
885,591
1783,272
4721,1115
2814,1194
493,478
342,558
2009,88
7399,671
659,3737
284,3255
2142,2099
2472,5935
882,3272
2117,53
1732,2562
617,2441
3087,1367
4743,2468
54,1965
8,1359
5202,1027
494,2580
1997,44
138,3713
3865,428
21,1234
3943,4097
897,2798
253,121
3623,713
776,767
6627,752
4212,3507
1635,1467
2403,725
6149,1602
6313,1310
2719,6439
3183,8045
2587,466
3991,178
2948,3830
425,4926
3484,1663
322,5856
356,2651
7559,7432
3544,2497
45,2012
7902,2633
5631,186
2228,1070
240,3408
2543,5741
2079,255
2174,6320
1792,5638
4754,7094
187,395
7277,1906
5203,786
6751,6341
5598,1265
5646,4292
2279,4011
3250,2903
1778,4462
1902,194
510,1140
277,6905
2825,532
46,114
960,2831
2886,440
83,757
3254,619
667,90
611,2631
1010,4149
126,2206
2542,808
3814,628
1445,172
7356,6362
