column_1,column_2
3396,1489
252,3470
5328,7430
1594,6991
6079,7835
800,2026
115,1180
1805,4704
1119,1400
1415,268
3641,666
3401,898
1337,7697
97,4132
1565,385
535,4088
247,77
1792,580
272,3452
7832,204
2112,3880
2333,2000
5928,414
581,391
6146,1213
443,1310
374,7720
1662,520
2813,1805
3707,418
3583,747
931,7051
270,5280
1001,175
1879,3456
2029,7787
419,0
347,3606
236,25
1425,2178
3250,3372
6233,2658
512,389
784,2253
3587,2749
3125,6137
2407,84
1156,1747
648,3596
2966,1329
522,8349
25,681
3105,2009
1609,1000
3627,918
1555,6234
1608,145
1815,2451
3827,460
1077,4813
827,3627
2198,4227
4812,3431
1693,153
4958,2651
1238,1598
2542,27
139,2459
2978,648
2739,3896
68,3341
6804,7737
2998,2335
3878,2682
2170,2148
2741,3412
2284,4032
1470,3383
2449,1390
6291,7136
2636,1195
3639,356
6126,3950
242,5696
1746,268
3377,1718
369,8186
389,147
3678,2250
1886,38
2060,401
8711,488
971,4181
3401,830
626,1749
5400,1973
6828,763
3212,2914
1791,900
245,4521
