column_1,column_2
604,1317
2655,3864
196,602
2594,2006
779,819
4950,1467
2695,1646
2650,1
536,18
2599,1905
844,347
7016,6175
183,901
6541,1806
1675,6180
614,11
1104,3263
1548,775
2271,7052
30,4634
3641,2470
598,1199
378,1965
7839,4393
4113,870
1119,506
2224,4732
114,1313
838,591
96,1619
1873,1351
468,5962
5598,1144
815,8034
133,396
5014,288
6790,4150
2503,30
425,3272
1598,990
5208,2428
1385,2698
1842,375
2370,3401
852,1003
2711,5812
6166,5321
412,114
210,4976
482,4387
2078,397
1893,1302
1707,641
2650,86
570,2689
865,1070
0,29
3400,1698
239,1098
3266,2511
3559,1655
5467,4800
139,3752
3713,2179
3554,89
5811,5562
355,397
1514,228
860,246
188,486
749,1478
52,1015
3173,468
2122,3852
2984,2866
5340,2365
800,916
2244,5210
751,4399
2371,843
998,5382
2869,2347
847,2086
2214,958
1866,27
64,743
569,3172
4865,2466
3449,1906
491,1901
17,4267
3795,243
1426,385
1907,284
1449,2271
7263,2200
3025,723
6637,3158
4617,7915
1202,2802
