column_1,column_2,column_3,column_4,column_5
-474103.07786,-752.6,-35.02,-7878.837,-75890.07487
-0.41973,-0.7,-27165.447,-99.097,-60.16244
-1.29668,-87.1,-773.633,-3917.561,-92.26713
-4.90664,-494.5,-536817.865,-948.649,-826.33573
-0.43041,-12009.6,-9562.784,-6.041,-0.17448
-723113.07211,-768.1,-238656.912,-0.246,-2071.58849
-5.30086,-979241.0,-39.344,-552332.688,-798.98836
-9.74156,-876454.5,-354603.967,-183.901,-66318.1392
-314.1215,-3856.4,-0.692,-286547.105,-0.14791
-51673.91838,-12377.7,-621.755,-5.185,-5.23298
-80.97374,-229.7,-0.609,-324573.247,-387.53875
-2490.59275,-291.3,-0.792,-95269.334,-6.26835
-0.01438,-8.9,-0.815,-29.721,-574890.21618
-0.86381,-592.7,-0.16,-5855.275,-1023.69832
-5.85669,-1.7,-78768.76,-328.212,-22813.17764
-3652.61118,-1.8,-105486.084,-0.742,-4697.48409
-178.01639,-968005.9,-8.855,-163.172,-177554.66466
-88.28526,-7.3,-0.235,-0.016,-0.57196
-85092.50772,-0.0,-97.365,-0.96,-3.69575
-0.30154,-0.3,-574035.005,-410829.111,-455.03109
-570.25716,-64.9,-99728.024,-0.718,-0.99748
-4603.18091,-1515.3,-48553.619,-6.876,-441.27107
-179.70718,-3.5,-56017.286,-414.764,-184956.36017
-8.93926,-25.3,-0.951,-6543.829,-81649.0901
-992.36695,-39182.5,-419.126,-9.836,-0.84318
-309.74367,-831.1,-4486.097,-2589.008,-40632.18784
-79109.00961,-8235.7,-201014.197,-6396.755,-7819.63312
-72.05354,-86782.8,-170.563,-6692.858,-6965.60331
-26.46955,-545212.9,-9.402,-0.248,-585384.10698
-72.64655,-490.4,-5847.126,-46.187,-3130.27062
-0.6318,-6.4,-43.14,-27740.83,-68443.90442
-0.83154,-311.6,-6.813,-7231.942,-89337.23359
-2.91125,-0.0,-7.391,-188.839,-86.22042
-6435.56738,-39.3,-1859.184,-96183.744,-3.46105
-3460.34879,-0.9,-0.782,-241322.148,-6468.91596
-15014.46928,-99.9,-396834.747,-2553.824,-561554.64021
-7.46065,-3.7,-55.461,-714746.43,-790.98522
-523.3183,-51257.0,-36.318,-60956.884,-0.7463
-535.77349,-8.5,-50988.924,-54.977,-930416.23088
-4031.05732,-2324.7,-3.5,-7.461,-610032.1001
-15961.48922,-0.3,-8491.321,-38.201,-169.09528
-1.4758,-810.1,-976.006,-912569.415,-28.3618
-617.21429,-457024.2,-99.67,-4024.296,-695.74992
-170.27846,-1071.5,-0.676,-193205.807,-22.18721
-4.59806,-9149.6,-6.678,-0.508,-45157.07115
-6245.6088,-9.4,-907.991,-6.992,-76.57796
-829487.73724,-2.3,-9715.291,-307266.756,-1.58255
-7.4037,-63056.3,-0.778,-772473.63,-623.94153
-62.56506,-81.3,-234.859,-238.098,-3.99478
-7.05426,-0.6,-4.436,-796.574,-59303.74474
-91012.42963,-864068.0,-0.719,-617943.764,-61145.37291
-67.96611,-393939.2,-0.203,-0.349,-6.04466
-7.40781,-8.5,-60710.837,-7955.8,-839.81989
-970.7188,-1949.2,-791.37,-9.42,-0.94713
-448514.70342,-694.6,-7.172,-585.384,-49.69701
-3803.72036,-606207.2,-78839.721,-1.224,-7.20009
-816049.19584,-6.0,-15.374,-1451.589,-6767.31293
-2497.93734,-937.9,-8300.629,-981676.579,-569.93494
-24410.28086,-510824.1,-11.994,-73.002,-508.3586
-0.74358,-1869.7,-304.224,-33917.145,-0.9298
-4.30652,-7498.3,-9945.91,-6.595,-2.07434
-328541.22817,-824233.4,-69530.112,-963323.857,-704014.12746
-3456.98825,-603138.1,-29.588,-39.772,-2234.07946
-0.11393,-38609.9,-9.814,-0.754,-67.25634
-8.16844,-8497.9,-0.647,-531.302,-8.27253
-6307.86245,-9.7,-18.881,-8990.592,-2.7229
-96460.28349,-0.7,-1.942,-2963.633,-0.0704
-0.32998,-33096.8,-9.613,-50.114,-1198.489
-5.85828,-0.4,-0.522,-0.648,-98827.41303
-0.53269,-6542.5,-388.325,-5125.756,-794775.13546
-5.53223,-333347.2,-6722.997,-3692.291,-0.3037
-5032.48981,-9968.0,-8599.993,-167999.969,-4.75888
-59.97186,-18539.8,-20.274,-6843.555,-9.17773
-98558.97928,-860315.9,-841056.035,-852.106,-6.39063
-806.35206,-0.4,-9.187,-85.262,-0.24382
-16.61999,-403500.3,-17840.228,-2393.186,-61516.74924
-69.67526,-307626.5,-40851.075,-4.358,-2479.3432
-0.77856,-54819.9,-496664.404,-951167.792,-454.18233
-976068.84349,-5351.8,-78.211,-710299.828,-5.09416
-57701.08774,-543.5,-983.839,-66.276,-7.1787
-45202.73943,-4.2,-9349.158,-3.129,-690.82072
-0.98318,-5947.7,-5.389,-90.71,-61747.27665
-6025.07406,-70.9,-41.438,-38913.256,-0.00616
-3.76672,-0.6,-243343.578,-6436.304,-0.51318
-490.99024,-69.3,-9.182,-7.062,-239985.2115
-0.42214,-299.3,-15651.332,-46291.203,-7933.05076
-7273.16122,-0.9,-0.978,-12473.765,-23.03886
-29.92104,-5259.9,-879.404,-8685.41,-0.96972
-3.89669,-97.1,-86.758,-20.389,-18.30399
-6.97426,-0.7,-2939.1,-226.82,-606.43892
-75222.58908,-0.4,-7405.415,-15.446,-28.98294
-4.26409,-6931.1,-6.871,-12557.714,-731713.8688
-4.59434,-17.0,-3293.915,-4935.097,-332072.22374
-0.13752,-652.8,-80.715,-297.587,-955669.08563
-709362.15264,-0.6,-8710.276,-707.921,-3791.02803
-2660.41064,-5064.9,-426109.796,-652490.896,-66.49189
-2951.71322,-0.0,-5.015,-0.748,-0.66552
-6.51783,-396459.9,-6840.366,-11420.781,-0.38802
-304001.82741,-54903.7,-0.596,-0.922,-0.56319
-912439.59163,-7.4,-33.54,-6565.551,-0.61402
-0.51134,-7348.9,-6418.855,-335399.574,-156167.52941
-93971.30362,-8658.2,-0.767,-46613.413,-836.03695
-387.59103,-7.5,-779.307,-3904.396,-4.88888
-54191.64545,-1249.1,-73080.18,-0.189,-9439.71157
-7.5274,-40.1,-5694.84,-982.452,-0.36184
-493.20114,-894438.4,-2062.305,-920.767,-2.45135
-72567.79645,-7555.5,-75190.517,-42224.775,-0.31654
-934147.27001,-2859.8,-943141.833,-20.785,-70721.6768
-89865.49029,-39.4,-90066.031,-0.752,-48726.94905
-5305.92647,-81.5,-7.492,-0.293,-547133.55201
-1.05829,-6.0,-460793.604,-0.0,-5.35909
