column_1,column_2,column_3,column_4,column_5,column_6,column_7
-6.30989,-81866.0,94626.381,-6.3,-0.735995,-4704.414,-168.62224
41655.86876,-10.0,0.796,69.2,362.23553,-55.075,583.40869
5288.12375,-1.0,-6000.369,-8471.5,-542476.786094,-220.662,1055.23889
-340406.23152,89231.0,33.235,806.2,146.071472,0.513,-13.82067
6370.5719,14839.0,-0.973,125758.5,65932.5385,656.518,192.75034
-17.44475,301750.0,54.83,739509.9,22587.688137,-66455.639,322.26742
-24.35338,-91.0,6.259,82103.8,-9892.708133,-408.476,735.61034
-4.03058,-554.0,5869.408,43028.0,-869.500274,-5323.548,-4793.62703
3768.02792,29.0,226671.317,-602906.6,-40779.489062,-3542.539,-78016.09879
836.70289,4.0,0.437,-7.1,-4.72779,-75.314,-392.62133
0.08439,5881.0,272.113,-0.5,-923.786513,-4.029,-723360.77729
66.62685,-82619.0,334731.984,-663.0,-32.250194,0.195,-2491.3542
527.83939,66355.0,-6.457,5896.4,-5999.213441,496367.414,718998.67577
-579.75359,-13641.0,-0.532,821.2,67.485009,4456.808,-689.19591
61987.6634,20864.0,703998.718,-2400.7,6.846132,35939.758,0.58875
-6695.11415,0.0,-123278.391,140.7,-32165.235097,-229382.157,-134.91701
-8.94994,-35674.0,9.837,-1144.6,766159.364914,-3258.747,-1.21004
-98.28773,-679199.0,-5499.871,0.1,0.622489,59.854,-40768.95241
142.81361,5466.0,645543.886,906.9,307.433115,-8.317,-819.41864
4080.76486,-1.0,0.141,-2.5,253.440726,90.558,0.81494
6152.81318,599.0,-75.242,704730.4,-80.100051,671.689,-1.6448
-20884.01886,-1.0,-784181.846,-43947.8,-84.458729,-0.503,-7.56996
-501.07311,-801457.0,-5.553,738890.2,0.587377,-9237.899,761.2204
-0.37333,200.0,1.798,3.4,6767.295822,714.732,0.24361
574066.40104,-414.0,5.379,30563.8,34.646703,-1102.308,0.34234
0.4632,62756.0,-676118.256,619.7,0.178806,-13012.24,-685.11465
2215.99697,65763.0,-510.538,70.5,-25566.102394,-9.377,-63800.68272
3.96784,1.0,3694.641,8.3,6.622715,6.137,0.42519
-865658.02585,38592.0,-4.621,2066.2,-50858.806691,-855.195,-86817.33415
330.81959,-882230.0,-646.542,-737621.2,8448.501404,0.354,-57.32104
10.20945,4.0,-0.299,5115.6,-0.956874,0.175,-31764.38806
-306.63571,7.0,5713.862,-214.4,1.1243,5032.07,619.76608
15.44149,-6398.0,9.344,2951.7,-65.332469,791204.738,-117.82798
-63.66598,-9.0,8.647,-327.9,7952.348569,-152464.08,79.96769
0.78716,7833.0,3841.444,267.5,-9500.903548,24719.034,-28814.65108
-208079.30646,129.0,70695.647,-41782.1,-0.039202,8047.828,-4.3359
-8633.77073,0.0,-41251.136,-6.6,0.191852,0.344,64253.82416
242.79627,-682340.0,5412.325,3.2,4487.159708,-17.361,45.82901
0.50828,-3287.0,-897.154,-6.3,2.48755,-0.126,363398.50357
-3270.87216,1.0,-736.292,7473.7,17448.941926,453.708,590432.48602
-750.95528,-9308.0,-3.016,8.3,177011.730927,72.341,9.93383
898.16497,-7.0,583.998,7.7,169042.572158,6.686,336247.68815
0.61561,336.0,963025.179,76245.6,12.639317,-86.089,-0.01111
19.93838,-125452.0,-794482.75,47.3,0.700607,-864.779,970677.06622
3.53914,-6.0,-3.131,-2852.1,89311.456143,-58.723,-22899.98292
-93231.9473,367531.0,-0.635,-9.3,-33980.878452,6.546,746753.1891
0.66865,22583.0,-256.875,-78.9,0.037945,-9193.792,90440.98265
96.088,-2586.0,-92070.974,-93027.8,5764.851916,-6543.097,-111.08934
0.95224,-8.0,85069.525,-7848.9,1354.163004,-1325.349,-37579.45123
40829.88025,-457015.0,325801.119,41.4,-669912.085067,0.094,148.60244
9846.4519,-1.0,0.688,835.5,56410.073128,136.001,-873556.86624
5.19205,-1.0,-0.431,-81082.8,0.987214,-806730.148,955442.53714
454.88039,0.0,-280380.01,-99.4,9.916568,-486.069,-76.1814
